id,canonical_name,name,file_size,parent_id,part_type
1507,D:\Music\Karaoke\Originals\Misc\my karaoke collection part 11 (ST)\Snoop Doggy Dog - What's My Name.cdg,Snoop Doggy Dog - What's My Name.cdg,1607040,1506,2
440,D:\Data\Dev\Archive\GWG\GWG.Tivo\3PReference\Streambaby\streambaby\main\src,src,316,439,1
1407,D:\Archive\ckgentry.org\ckgentry.org\drupal-7.0-alpha6\sites\all\libraries\ckeditor,ckeditor,896,511,1
595,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\8\830A\830AE0A4-EA36-4182-87DF-CD8FB1B55029-943918c538513937aeabbb103282ad7e.lrprev,830AE0A4-EA36-4182-87DF-CD8FB1B55029-943918c538513937aeabbb103282ad7e.lrprev,23154560,594,2
1422,E:\Temp\sd.webui\system\python\Lib\site-packages\pip,pip,8024,95,1
323,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev,dev,194375,322,1
398,E:\Backup from old 4TB Drive\Music\Originals\Samhain\Initium,Initium,14689029,397,1
1302,D:\Data\Gary\Avanade\Pre-2012 (likely dupes)\Avanade\BD\Fed\JMPS\JMPS Presentation Nov 2006,JMPS Presentation Nov 2006,658385,1301,1
1300,D:\Data\Gary\Avanade\Pre-2012 (likely dupes)\Avanade\BD\Fed,Fed,658385,746,1
1689,D:\Archive\Archive From Hulk\Old Machines\Beetlejuice Backup\Save\Old Drive\Temp\vs.net 2003 setup\Program Files\Microsoft Visual Studio .NET 2003\SDK\v1.1\QuickStart\winforms\samples\controlreference\scrollbarctl,scrollbarctl,20588,1688,1
1526,D:\Video\Home Video\VideoCapture\2002\Tayler Dance,Tayler Dance,520936530,1168,1
584,D:\Archive\Archive From Hulk\Media\Digital Pictures\Old Structure (Restored from Hulk 2008 Drive Crash)\Originals,Originals,20294569,583,1
681,D:\Archive\Archive From Hulk\CAM\TOTH,TOTH,102912,71,1
517,D:\Archive\ckgentry.org\ckgentry.org\drupal-gardens\sites,sites,1965,357,1
1197,D:\Archive\Archive From Hulk\Old Machines\Beetlejuice Backup\Save\Old Drive\Dev\RailInc,RailInc,211990,1196,1
279,D:\Data\Dev\Archive\GWG\GWG.Tivo\Source,Source,2391,269,1
1399,D:\Archive\Archive From Hulk\Media\Digital Pictures\Old Structure (Restored from Hulk 2008 Drive Crash)\Published\Originals\2004-01 (Jan)\DSC06814.JPG,DSC06814.JPG,2100715,1398,2
742,D:\Data\Gary,Gary,706197,139,1
1046,D:\Data\Dev\GoldCoast\GCA\CTMS\gca-ctms-server-win\src\GCA\GCA.Debug.Web,GCA.Debug.Web,143,1045,1
477,D:\Data\Temp\src\Applications\G2.Tivo\Reference\Streambaby\main\src\mp4\util,util,316,476,1
